model,state,mae,rmse,mape
HoltWinters,Alabama,48090285.99,85162692.62,20.7485
HoltWinters,Arizona,53403293.67,91834908.88,20.5394
HoltWinters,Arkansas,25683277.65,44758771.23,20.1364
HoltWinters,California,208707184.49,355959140.91,20.9621
HoltWinters,Colorado,40840945.44,72197322.54,20.2174
HoltWinters,Connecticut,20525158.22,35343315.53,20.0462
HoltWinters,Florida,182154176.72,309074437.57,20.9801
HoltWinters,Georgia,90145103.93,157654931.57,21.3254
HoltWinters,Illinois,76125754.38,128982156.62,20.53
HoltWinters,Indiana,49720991.45,89070464.55,19.5208
HoltWinters,Iowa,26814916.79,46230638.08,20.0472
HoltWinters,Kansas,20545355.91,35717039.24,19.521
HoltWinters,Kentucky,39176481.68,69992095.2,19.851
HoltWinters,Louisiana,43857552.88,76634758.83,20.9442
HoltWinters,Maine,11033308.0,19220650.01,20.7137
HoltWinters,Maryland,37710807.74,66086050.18,20.6584
HoltWinters,Massachusetts,42806038.4,76562946.3,20.309
HoltWinters,Michigan,65147096.95,115820033.67,19.6625
HoltWinters,Minnesota,34527536.21,61596339.94,19.3462
HoltWinters,Mississippi,30224969.86,49624482.16,21.7509
HoltWinters,Missouri,44233856.98,79123533.84,19.6939
HoltWinters,Nebraska,16826043.2,24507629.2,23.4384
HoltWinters,Nevada,24970883.01,42801362.9,21.2693
HoltWinters,New Hampshire,12811031.37,22577060.72,20.0145
HoltWinters,New Mexico,17594535.85,30516730.92,21.0148
HoltWinters,New York,100037607.58,176646649.82,20.1646
HoltWinters,North Carolina,82077910.0,144854163.47,19.9087
HoltWinters,Ohio,86558398.63,151078563.98,20.2541
HoltWinters,Oklahoma,34321112.16,60064041.36,20.1847
HoltWinters,Oregon,28209659.55,45545266.31,21.2384
HoltWinters,Pennsylvania,83689516.28,148597491.59,20.2342
HoltWinters,Rhode Island,6322103.29,10546297.67,20.9961
HoltWinters,South Carolina,45332982.8,80017635.04,20.1449
HoltWinters,South Dakota,6696840.96,11500060.7,20.4019
HoltWinters,Tennessee,59720489.82,106025094.8,19.9874
HoltWinters,Texas,215781411.88,379382145.86,20.9975
HoltWinters,Utah,19252389.1,33257070.41,19.987
HoltWinters,Vermont,4106001.67,7156669.28,19.9307
HoltWinters,Virginia,66261452.21,116887461.25,19.8315
HoltWinters,Washington,43529170.54,75249651.13,20.2954
HoltWinters,West Virginia,18924400.73,31088240.36,21.6402
HoltWinters,Wisconsin,35534117.74,62253637.5,19.7611
HoltWinters,Wyoming,4890988.19,8522633.81,20.2251
