model,state,mae,rmse,mape
LSTM,Alabama,17778783.64,59662073.35,4.4665
LSTM,Arizona,21582376.52,60466955.04,5.7207
LSTM,Arkansas,11157387.21,29011758.08,6.3113
LSTM,California,112009621.11,274371881.97,8.3326
LSTM,Colorado,19088833.71,48559367.76,6.8628
LSTM,Connecticut,12206583.07,22274448.62,10.1155
LSTM,Florida,111669563.4,208176066.0,11.0304
LSTM,Georgia,43397597.34,106906751.65,7.4988
LSTM,Illinois,38232695.64,96719620.42,7.4999
LSTM,Indiana,24370643.51,58845961.24,7.1857
LSTM,Iowa,10955054.97,30443810.9,5.677
LSTM,Kansas,8372926.06,23297652.37,5.5218
LSTM,Kentucky,16818729.0,46183587.5,5.9089
LSTM,Louisiana,24950409.64,57881620.17,9.1054
LSTM,Maine,4466370.52,13737761.96,5.27
LSTM,Maryland,24586249.19,42821352.26,11.6115
LSTM,Massachusetts,25103876.32,48140338.15,9.9228
LSTM,Michigan,34331638.02,79138520.01,7.9408
LSTM,Minnesota,18693791.9,39403595.63,8.4112
LSTM,Mississippi,14367921.16,32893397.68,7.8845
LSTM,Missouri,17605629.1,51339215.66,5.2547
LSTM,Nebraska,6369189.75,16479765.81,6.3918
LSTM,Nevada,11392203.34,30443864.2,6.8346
LSTM,New Hampshire,7893709.27,17524398.02,9.6295
LSTM,New Mexico,8490623.19,21334453.66,7.4281
LSTM,New York,40832107.72,125178573.56,5.1887
LSTM,North Carolina,33593806.17,98831288.58,5.4119
LSTM,Ohio,37587217.87,107623225.2,5.9155
LSTM,Oklahoma,14174495.04,38163075.13,5.9041
LSTM,Oregon,12342989.57,28534141.62,7.1677
LSTM,Pennsylvania,34964875.21,100843300.65,5.6171
LSTM,Rhode Island,4751322.53,8522016.68,13.4027
LSTM,South Carolina,27710809.45,49253224.65,10.7187
LSTM,South Dakota,3020179.46,7500887.74,6.8084
LSTM,Tennessee,29056863.95,75558827.02,6.9982
LSTM,Texas,172636640.21,235684904.3,16.0869
LSTM,Utah,13442393.98,21738877.56,12.633
LSTM,Vermont,2074234.37,4942325.8,7.5419
LSTM,Virginia,40096845.79,72627959.68,10.3485
LSTM,Washington,21483397.47,48591289.52,7.7761
LSTM,West Virginia,7502597.3,19393291.01,6.1911
LSTM,Wisconsin,14230856.76,42631302.19,5.1624
LSTM,Wyoming,1973198.95,5993739.45,5.2265
