model,state,mae,rmse,mape
LSTM,Alabama,17778783.64,59662073.35,4.4665
ARIMA,Arizona,18455461.28,62836649.27,4.1988
LSTM,Arkansas,11157387.21,29011758.08,6.3113
ARIMA,California,101120853.61,256772118.17,7.3624
LSTM,Colorado,19088833.71,48559367.76,6.8628
ARIMA,Connecticut,11047480.16,24101861.05,8.4475
LSTM,Florida,111669563.4,208176066.0,11.0304
LSTM,Georgia,43397597.34,106906751.65,7.4988
LSTM,Illinois,38232695.64,96719620.42,7.4999
LSTM,Indiana,24370643.51,58845961.24,7.1857
ARIMA,Iowa,10094898.62,31754218.65,4.7832
LSTM,Kansas,8372926.06,23297652.37,5.5218
LSTM,Kentucky,16818729.0,46183587.5,5.9089
LSTM,Louisiana,24950409.64,57881620.17,9.1054
LSTM,Maine,4466370.52,13737761.96,5.27
LSTM,Maryland,24586249.19,42821352.26,11.6115
ARIMA,Massachusetts,24220778.22,51451325.79,9.1174
LSTM,Michigan,34331638.02,79138520.01,7.9408
ARIMA,Minnesota,15469050.44,42906937.55,5.9628
ARIMA,Mississippi,14580312.91,34813807.05,7.8075
LSTM,Missouri,17605629.1,51339215.66,5.2547
ARIMA,Nebraska,5562798.97,16893452.0,5.0392
LSTM,Nevada,11392203.34,30443864.2,6.8346
ARIMA,New Hampshire,7257132.45,15597948.84,8.9946
LSTM,New Mexico,8490623.19,21334453.66,7.4281
LSTM,New York,40832107.72,125178573.56,5.1887
LSTM,North Carolina,33593806.17,98831288.58,5.4119
LSTM,Ohio,37587217.87,107623225.2,5.9155
LSTM,Oklahoma,14174495.04,38163075.13,5.9041
LSTM,Oregon,12342989.57,28534141.62,7.1677
LSTM,Pennsylvania,34964875.21,100843300.65,5.6171
ARIMA,Rhode Island,2838893.51,6908690.8,6.9978
LSTM,South Carolina,27710809.45,49253224.65,10.7187
LSTM,South Dakota,3020179.46,7500887.74,6.8084
LSTM,Tennessee,29056863.95,75558827.02,6.9982
ARIMA,Texas,174499515.47,251566110.08,15.831
LSTM,Utah,13442393.98,21738877.56,12.633
LSTM,Vermont,2074234.37,4942325.8,7.5419
LSTM,Virginia,40096845.79,72627959.68,10.3485
LSTM,Washington,21483397.47,48591289.52,7.7761
LSTM,West Virginia,7502597.3,19393291.01,6.1911
LSTM,Wisconsin,14230856.76,42631302.19,5.1624
LSTM,Wyoming,1973198.95,5993739.45,5.2265
