model,state,mae,rmse,mape
XGBoost,Alabama,93306797.52,107393289.19,43.2068
XGBoost,Arizona,113539672.39,129167845.4,46.9658
XGBoost,Arkansas,60221705.17,68620451.02,50.6837
XGBoost,California,451521787.97,520686804.3,49.8695
XGBoost,Colorado,97539344.99,111479623.51,52.5821
XGBoost,Connecticut,49573937.31,56197291.54,51.4729
XGBoost,Florida,367422121.13,424181379.6,46.9167
XGBoost,Georgia,166642900.88,189899838.51,42.6181
XGBoost,Illinois,169415935.68,193101881.27,49.6535
XGBoost,Indiana,119609167.17,136503175.56,50.7843
XGBoost,Iowa,61285852.47,70144448.61,49.0954
XGBoost,Kansas,47348624.68,53893873.52,47.668
XGBoost,Kentucky,94317484.81,107690544.69,51.4124
XGBoost,Louisiana,97296779.44,111374811.06,50.7706
XGBoost,Maine,21122190.6,24251666.74,43.1548
XGBoost,Maryland,83579512.5,96920281.65,49.092
XGBoost,Massachusetts,97012793.97,111156373.35,49.5888
XGBoost,Michigan,150468579.49,175767856.15,49.1867
XGBoost,Minnesota,82271495.51,94463026.73,49.344
XGBoost,Mississippi,39227537.21,46533055.47,30.1124
XGBoost,Missouri,102690892.5,117399114.42,48.4987
XGBoost,Nebraska,14729904.75,18952871.13,20.3556
XGBoost,Nevada,54481067.46,62263909.23,50.2693
XGBoost,New Hampshire,29910376.95,34322164.6,50.4867
XGBoost,New Mexico,37317555.16,43047071.78,47.9921
XGBoost,New York,231955863.07,266740754.41,50.2941
XGBoost,North Carolina,188370602.84,215394928.06,49.5221
XGBoost,Ohio,200523784.92,229716755.06,50.7678
XGBoost,Oklahoma,79353780.41,90607180.56,49.8706
XGBoost,Oregon,61813755.62,70930731.71,49.5
XGBoost,Pennsylvania,194210525.75,222403428.46,50.5921
XGBoost,Rhode Island,14430234.43,16497502.68,50.3709
XGBoost,South Carolina,102555805.03,117796532.31,49.1188
XGBoost,South Dakota,14987785.22,17282044.41,48.981
XGBoost,Tennessee,139242181.22,159214029.57,50.0397
XGBoost,Texas,478979796.51,548422562.3,50.5145
XGBoost,Utah,44139260.42,51162085.6,49.8808
XGBoost,Vermont,8348472.18,9538673.24,43.1361
XGBoost,Virginia,150715205.99,172817227.68,48.6348
XGBoost,Washington,101534686.73,116492205.51,50.7609
XGBoost,West Virginia,38869547.87,44032810.22,46.6505
XGBoost,Wisconsin,84347976.33,96459282.57,50.2012
XGBoost,Wyoming,9646097.56,10977925.47,42.699
