model,state,mae,rmse,mape
ARIMA,Alabama,42861292.78,58276828.29,17.5789
ARIMA,Arizona,18455461.28,62836649.27,4.1988
ARIMA,Arkansas,18909103.51,29173472.77,13.4633
ARIMA,California,101120853.61,256772118.17,7.3624
ARIMA,Colorado,33351838.37,49204478.86,15.3019
ARIMA,Connecticut,11047480.16,24101861.05,8.4475
ARIMA,Florida,260017612.24,274209680.63,31.9278
ARIMA,Georgia,83137894.65,110899862.3,18.7987
ARIMA,Illinois,54176595.67,88509511.16,13.0221
ARIMA,Indiana,63784836.43,70448576.9,25.57
ARIMA,Iowa,10094898.62,31754218.65,4.7832
ARIMA,Kansas,13645474.42,23002238.26,11.3536
ARIMA,Kentucky,31507979.82,46588815.81,14.7109
ARIMA,Louisiana,33795032.87,51422208.21,14.8177
ARIMA,Maine,6919590.63,13635375.59,10.7614
ARIMA,Maryland,31987357.81,45815912.12,16.1698
ARIMA,Massachusetts,24220778.22,51451325.79,9.1174
ARIMA,Michigan,62613265.26,83259245.46,18.1188
ARIMA,Minnesota,15469050.44,42906937.55,5.9628
ARIMA,Mississippi,14580312.91,34813807.05,7.8075
ARIMA,Missouri,32048429.1,50124623.14,12.8281
ARIMA,Nebraska,5562798.97,16893452.0,5.0392
ARIMA,Nevada,18323193.1,28079197.53,14.2662
ARIMA,New Hampshire,7257132.45,15597948.84,8.9946
ARIMA,New Mexico,23727857.14,24928550.08,29.5506
ARIMA,New York,55703825.82,123491872.98,8.7007
ARIMA,North Carolina,65829546.63,97469003.79,14.8183
ARIMA,Ohio,107653426.04,119043284.57,25.7223
ARIMA,Oklahoma,24974981.39,38359294.4,13.3528
ARIMA,Oregon,13006755.83,30501296.05,7.4816
ARIMA,Pennsylvania,104149310.85,115502198.25,25.5288
ARIMA,Rhode Island,2838893.51,6908690.8,6.9978
ARIMA,South Carolina,65380165.11,68003399.19,30.5436
ARIMA,South Dakota,8436082.53,9156308.86,26.3551
ARIMA,Tennessee,76035247.96,82861412.22,26.0722
ARIMA,Texas,174499515.47,251566110.08,15.831
ARIMA,Utah,24764973.02,27284032.71,26.45
ARIMA,Vermont,5832994.04,6180537.0,29.2299
ARIMA,Virginia,80718393.89,89900875.84,24.5252
ARIMA,Washington,22739618.58,50714459.68,8.2703
ARIMA,West Virginia,22575578.08,24002297.03,26.3187
ARIMA,Wisconsin,44602901.68,49029760.65,25.1836
ARIMA,Wyoming,6861413.55,7276592.85,29.4615
