model,state,mae,rmse,mape
LSTM,Alabama,21224800.62,57139212.18,6.3744
LSTM,Arizona,22440294.78,62147715.59,5.9982
LSTM,Arkansas,12259567.64,28282152.86,7.4159
LSTM,California,85682451.48,255478542.46,5.5671
LSTM,Colorado,27048088.91,46113057.56,11.8196
LSTM,Connecticut,8335424.89,24924389.97,5.3018
LSTM,Florida,90449966.06,212360833.57,7.9738
LSTM,Georgia,76357452.85,103204590.37,17.313
LSTM,Illinois,32859801.98,87599133.84,6.2507
LSTM,Indiana,26943933.52,58005738.65,8.4391
LSTM,Iowa,12733533.72,29272522.0,7.368
LSTM,Kansas,11950305.17,25836152.58,9.0072
LSTM,Kentucky,17957724.97,49474136.5,6.2894
LSTM,Louisiana,18103157.9,53594602.37,5.6425
LSTM,Maine,8349352.66,12856235.67,14.4195
LSTM,Maryland,18959485.91,44570351.3,7.7679
LSTM,Massachusetts,30265591.0,47969510.51,12.8916
LSTM,Michigan,26880269.97,84488245.43,5.0315
LSTM,Minnesota,14012700.54,43052142.25,5.0212
LSTM,Mississippi,13488426.67,35969572.54,6.7674
LSTM,Missouri,24432925.11,55779501.57,8.3991
LSTM,Nebraska,6297293.95,15798775.11,6.4236
LSTM,Nevada,13106181.77,30973076.76,8.4622
LSTM,New Hampshire,8583941.16,14449159.54,11.8421
LSTM,New Mexico,7216950.12,19862716.71,5.9672
LSTM,New York,41867456.52,127078479.72,5.3632
LSTM,North Carolina,53955186.81,90717765.28,11.6665
LSTM,Ohio,35197191.84,107178912.44,5.283
LSTM,Oklahoma,15388583.31,37600618.26,6.7829
LSTM,Oregon,14672627.17,27690568.3,9.3427
LSTM,Pennsylvania,33793236.95,101493710.0,5.2656
LSTM,Rhode Island,2339228.01,7075378.01,5.0461
LSTM,South Carolina,23565804.63,49993645.82,8.4404
LSTM,South Dakota,2737141.7,7934713.02,5.5845
LSTM,Tennessee,23632319.53,71771323.73,5.1211
LSTM,Texas,90122195.05,250551890.11,5.9957
LSTM,Utah,8593436.63,23455496.49,6.2067
LSTM,Vermont,2414827.91,4805867.8,9.6021
LSTM,Virginia,43084326.99,72833030.56,11.4174
LSTM,Washington,27031308.48,46758329.73,11.012
LSTM,West Virginia,7980452.49,20943661.6,6.5234
LSTM,Wisconsin,18681448.72,40543184.93,8.2256
LSTM,Wyoming,1930652.24,5974578.89,5.0376
