model,state,mae,rmse,mape
Prophet,Alabama,85818155.52,102134997.46,39.3896
Prophet,Arizona,76321524.34,97438740.91,30.3236
Prophet,Arkansas,40228287.94,50217705.61,32.8967
Prophet,California,334425551.19,400387478.64,35.5333
Prophet,Colorado,66063578.75,81291206.37,34.3879
Prophet,Connecticut,31872500.43,40147167.45,32.2477
Prophet,Florida,297147651.88,363578648.36,36.4213
Prophet,Georgia,161985741.2,186618896.11,40.8439
Prophet,Illinois,113113285.15,145109773.46,31.7248
Prophet,Indiana,83070110.13,103055085.72,34.3493
Prophet,Iowa,40063364.64,51189640.47,31.0433
Prophet,Kansas,30779492.58,39340783.53,30.1302
Prophet,Kentucky,65616415.59,78946135.19,34.9273
Prophet,Louisiana,71002077.09,86848557.02,35.789
Prophet,Maine,18542176.71,22601980.91,37.0732
Prophet,Maryland,61917297.14,76406881.04,35.4444
Prophet,Massachusetts,66795150.04,84196001.87,32.9589
Prophet,Michigan,111466191.55,135055088.05,35.585
Prophet,Minnesota,53661464.71,66930230.34,31.2315
Prophet,Mississippi,51434446.19,60074160.35,38.7603
Prophet,Missouri,70079100.45,87799292.41,32.3787
Prophet,Nebraska,21581979.13,27030660.0,30.1527
Prophet,Nevada,39520117.7,49341694.75,35.4036
Prophet,New Hampshire,19791241.42,25118490.93,32.2398
Prophet,New Mexico,27137879.5,33932181.62,33.8266
Prophet,New York,155730273.34,196191508.74,32.6332
Prophet,North Carolina,137349633.92,165817920.71,35.1898
Prophet,Ohio,139029552.7,172222924.87,34.1798
Prophet,Oklahoma,53453492.16,67596839.07,32.7069
Prophet,Oregon,37986433.88,48438185.32,29.323
Prophet,Pennsylvania,134861222.8,167266768.37,34.1241
Prophet,Rhode Island,8782643.69,11203551.98,29.8399
Prophet,South Carolina,72830543.45,89832692.28,33.9566
Prophet,South Dakota,10364429.66,12881157.07,33.0571
Prophet,Tennessee,100694269.72,121160931.3,35.5203
Prophet,Texas,366095743.6,439383209.04,37.7333
Prophet,Utah,31254389.77,38435796.78,34.2543
Prophet,Vermont,6885947.53,8447201.3,35.0408
Prophet,Virginia,106004946.32,132726246.0,33.1925
Prophet,Washington,64179669.04,81565445.88,30.9801
Prophet,West Virginia,25226777.16,31892244.42,29.3891
Prophet,Wisconsin,55079904.64,69445657.81,31.8687
Prophet,Wyoming,8450688.15,10259581.88,36.9751
