model,state,mae,rmse,mape
XGBoost,Alabama,104001554.82,127281748.78,51.2599
XGBoost,Arizona,112319078.67,139551620.4,48.9205
XGBoost,Arkansas,41957880.87,51745040.77,36.6694
XGBoost,California,413103648.33,475622114.59,47.3123
XGBoost,Colorado,79578640.99,97753203.96,45.1069
XGBoost,Connecticut,34724736.46,42811121.71,37.1658
XGBoost,Florida,225543369.4,273074078.22,30.3068
XGBoost,Georgia,186773844.42,224911917.56,50.5943
XGBoost,Illinois,167135829.01,200997211.53,50.918
XGBoost,Indiana,114234655.62,142981718.09,51.1832
XGBoost,Iowa,49386137.14,61157754.66,41.4001
XGBoost,Kansas,36066319.58,43652918.5,37.5406
XGBoost,Kentucky,71176920.66,87944404.39,40.9118
XGBoost,Louisiana,87475851.44,105831084.89,47.4408
XGBoost,Maine,20161128.78,24978605.62,41.6926
XGBoost,Maryland,64696300.88,79426524.66,39.9079
XGBoost,Massachusetts,88450608.09,105517116.65,46.5764
XGBoost,Michigan,154815956.33,185230122.23,52.7992
XGBoost,Minnesota,62560512.09,77855947.83,39.4661
XGBoost,Mississippi,53171788.62,65848663.67,43.1241
XGBoost,Missouri,94969829.83,119011368.05,47.0032
XGBoost,Nebraska,22165663.72,28018432.49,33.2807
XGBoost,Nevada,41993549.48,51341817.17,39.939
XGBoost,New Hampshire,21264547.73,26290986.65,35.498
XGBoost,New Mexico,24534841.74,31096644.97,32.7699
XGBoost,New York,194652992.12,236420699.22,44.2853
XGBoost,North Carolina,184311338.23,226353531.11,51.1587
XGBoost,Ohio,180711499.88,218977803.03,47.9136
XGBoost,Oklahoma,67536873.59,80716376.1,44.1041
XGBoost,Oregon,47382658.94,59067160.84,40.0324
XGBoost,Pennsylvania,180825563.08,220610092.59,49.5205
XGBoost,Rhode Island,14240942.16,18510433.42,50.5916
XGBoost,South Carolina,92691095.43,115461303.32,46.6596
XGBoost,South Dakota,15050934.08,19530090.06,49.6998
XGBoost,Tennessee,158434476.62,193123668.02,59.895
XGBoost,Texas,463144265.84,522931298.75,50.3935
XGBoost,Utah,30798859.85,38043187.29,36.2285
XGBoost,Vermont,12093905.83,16624118.12,63.7647
XGBoost,Virginia,152822475.28,182874642.05,51.1619
XGBoost,Washington,84874959.62,101699030.32,44.032
XGBoost,West Virginia,22821595.13,29650061.7,28.8611
XGBoost,Wisconsin,62943805.66,78387814.59,39.5706
XGBoost,Wyoming,12118221.26,16390110.38,55.5203
